"AirtableName","AirtableParent","Action","Confidence","ClosestSalesforceAccount","ItsParentInSalesforce","AlreadyMatchedTo","WhyThisCandidate","Note","BlocksOpportunities","BlocksPartnerAccounts","BlocksApplications","BlocksContacts","BlocksMeetings","TotalBlocked","MarketSegment","DecisionPleaseFillIn","AirtableRecordId"
"Deputy Commissioner for Hearings Operations","Social Security Administration","Check the candidate","Possible","Deputy Commissioner for Operations","Social Security Administration","Deputy Commissioner for Operations","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Deputy Commissioner for Operations'.)","0","0","0","0","0","0","Benefits","","recZC9gVe1flfEuS6"
"Deputy Commissioner for Human Resources","Social Security Administration","Check the candidate","Possible","Deputy Commissioner for Systems","Social Security Administration","Deputy Commissioner for Systems","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Deputy Commissioner for Systems'.)","0","0","0","0","0","0","Benefits","","recgzAQMFFjzjZccu"
"Director of National Intelligence","","Check the candidate","Possible","Office of the Director of National Intelligence","(none)","Office of the Director of National Intelligence","86% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Office of the Director of National Intelligence'.)","0","0","0","0","0","0","Defense","","recgNHuBBrwKemvvh"
"Director of Net Assessment","Department of Defense","Check the candidate","Possible","Office of Net Assessment","Department of Defense","","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recmPxb3rYusGDAxk"
"Directorate for Engineering","National Science Foundation","Check the candidate","Possible","Directorate of Engineering","National Science Foundation","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recI5YWyskcjT0B7V"
"Education and Economics","","Check the candidate","Possible","Research, Education, and Economics","U.S. Department of Agriculture","Research, Education, and Economics","86% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Research, Education, and Economics'.)","0","0","0","0","0","0","Infrastructure","","recwHGeFUBKMUywIR"
"Executive Director for Operations","Nuclear Regulatory Commission","Check the candidate","Possible","Office of the Executive Director for Operations","Nuclear Regulatory Commission","","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recFbNcFJpM1xxwe8"
"Federal Employment Services","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","0","0","Finance & Regulation","","recW99Eb9o0TJqNOC"
"Federal Housing Administration","","Check the candidate","Possible","Federal Aviation Administration","Department of Transportation","Federal Aviation Administration","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Federal Aviation Administration'.)","0","0","0","0","0","0","Infrastructure","","rec2Z5Hf216BUQy5Q"
"Federal Permitting Improvement Steering Council (FPISC)","General Services Administration","Check the candidate","Possible","Federal Permitting Improvement Steering Council","(none)","","91% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","rechVZ5orwXdyYR8F"
"Field Operations","","Check the candidate","Possible","Office of Field Operations","Small Business Administration","Office of Field Operations","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Office of Field Operations'.)","0","0","0","0","0","0","Defense","","recx5eqEsgg9MzbcH"
"Fish and Wildlife Service","Department of the Interior","Check the candidate","Possible","U.S. Fish and Wildlife Service","Department of Interior","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recWRFYhjqhsOYRqw"
"Food, Nutrition, and Consumer Services","Department of Agriculture","Check the candidate","Possible","Under Secretary for Food, Nutrition and Consumer Services","U.S. Department of Agriculture","","77% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recfvstWGhuC0xNIM"
"General Counsel of the Department of Defense","Department of Defense","Check the candidate","Possible","Department of Defense","(none)","Department of Defense","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Department of Defense'.)","0","0","0","0","0","0","Defense","","reckU23N3Y0ZV6vd5"
"GSA Board of Contract Appeals","General Services Administration","Check the candidate","Possible","Civilian Board of Contract Appeals","General Services Administration","","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recSSLHVoaYbEOEeX"
"Headquarters, U.S. Marine Corps","Navy","Check the candidate","Possible","United States Marine Corps","Department of the Navy","United States Marine Corps","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'United States Marine Corps'.)","0","0","0","0","0","0","Defense","","recXtjhELpE3G3JSk"
"Human Resources","Office of Personnel Management","Check the candidate","Possible","Human Resources - SSA","Social Security Administration","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Finance & Regulation","","recECxpu8S4uPSf2u"
"Institute of Peace","","Check the candidate","Possible","U.S. Institute Of Peace","(none)","","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recZoJNCTpKoWyHwm"
"International Boundary Commission:  United States and Canada","","Align the names","High","International Boundary Commission: United States and Canada","(none)","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","0","0","0","0","0","0","Defense","","recznKc1nW9zXz7pA"
"International Joint Commission:  United States and Canada","","Align the names","High","International Joint Commission: United States and Canada","(none)","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","0","0","0","0","0","0","Defense","","reccdaeK1Wh5vbCPw"
"Interpol - Washington","Department of Justice","Align the names","High","INTERPOL Washington","Department of Justice","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","0","0","0","0","0","0","Defense","","recaJlS94U1ET1Rrl"
"Legislative Branch","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","0","0","Defense","","recwDub3m8XZLpMLC"
"login.gov","","Check the candidate","Possible","Login.gov Division","Technology Transformation Services","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recmEIS0hurOnrwyK"
"Medicaid & CHIP Payment & Access Commission","Legislative Branch","Align the names","High","Medicaid and CHIP Payment and Access Commission","U.S. Congress","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","0","0","0","0","0","0","Benefits","","recvhpsGYTbqLvR1W"
"National Institute of Allergy and Infectious Diseases (NIAID)","National Institutes of Health","Check the candidate","Possible","National Institute of Allergy and Infectious Diseases","National Institutes of Health","","92% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Benefits","","recGCF8XQSi1Guqig"
"Natural Resources and Environment","Department of Agriculture","Check the candidate","Possible","Environment and Natural Resources Division","Department of Justice","Environment and Natural Resources Division","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Environment and Natural Resources Division'.)","0","0","0","0","0","0","Infrastructure","","recOTuuxYnWwBq9Fs"
"Nutrition and Consumer Services","","Check the candidate","Possible","Under Secretary for Food, Nutrition and Consumer Services","U.S. Department of Agriculture","","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recPcNeMQLDZZ3ee1"
"Occupational Safety & Health Administration","","Same name already taken","High","Occupational Safety and Health Administration","Department of Labor","Occupational Safety and Health Administration","Same name, different punctuation or abbreviation","The Salesforce Account is already matched to the Airtable row 'Occupational Safety and Health Administration'. If that is the same organisation, merge these two Airtable rows. If this is a genuinely different office, it needs its own Salesforce Account.","0","0","0","0","0","0","Benefits","","recjbnDe79QKW8Sgq"
"Office for Civil Rights","Department of Education","Check the candidate","Possible","Office for Civil Rights - ED","Office of the Secretary - ED","","100% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Benefits","","recBA7zoxeFNKve4Z"
"Office of Apprenticeship","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","0","0","Infrastructure","","recdcul6XJXdgSvD8"
"Office of Civil Rights","General Services Administration","Check the candidate","Possible","Office of Civil Rights - DOT","Department of Transportation","","86% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recUjIjnmRk2ZyPmz"
"Office of Civil Rights and Equal Opportunity","Social Security Administration","Check the candidate","Possible","Civil Rights and Equal Opportunity","Social Security Administration","","91% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Benefits","","recUHq56WOXk12zTg"
"Office of Community Oriented Policing Services","Department of Justice","Check the candidate","Possible","Community Oriented Policing Services","Department of Justice","","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recAIe4pFrBo8eZlc"
"Office of Diversity, Equity, Inclusion & Accessibility","Office of Personnel Management","Check the candidate","Possible","Office of Diversity, Equity, Inclusion, and Accessibility - USDT","Department of Treasury","","92% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Finance & Regulation","","rectvY65lAl8tfQm5"
"Office of Fair Housing and Equal Opportunity","","Check the candidate","Possible","Fair Housing and Equal Opportunity","Department of Housing and Urban Development","","91% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recePVH6YRPZUtNjW"
"Office of General Counsel","Environmental Protection Agency","Same name already taken","High","Office of the General Counsel","U.S. Department of Agriculture","Office of the General Counsel","Same name, different punctuation or abbreviation","The Salesforce Account is already matched to the Airtable row 'Office of the General Counsel'. If that is the same organisation, merge these two Airtable rows. If this is a genuinely different office, it needs its own Salesforce Account.","0","0","0","0","0","0","Finance & Regulation","","rec7Y0rQUgcxt3MaP"
"Office of Hearings and Appeals","Department of Agriculture","Check the candidate","Possible","Office of Hearings and Appeals - USDA","U.S. Department of Agriculture","","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","reczWl2eLLsX6wiQT"
"Office of Legislative Affairs","Department of Justice","Check the candidate","Possible","Office of Legislative Affairs - USDT","Department of Treasury","","86% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","rechE6ICdzx1Go3my"
"Office of Partnership and Public Engagement","Department of Agriculture","Check the candidate","Possible","Office of Partnership and Engagement","Department of Homeland Security","","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recuacVhzcwbsLY7p"
"Office of Secretary","Department of State","Same name already taken","High","Office of the Secretary","Department of Commerce","Office Of The Secretary","Same name, different punctuation or abbreviation","The Salesforce Account is already matched to the Airtable row 'Office Of The Secretary'. If that is the same organisation, merge these two Airtable rows. If this is a genuinely different office, it needs its own Salesforce Account.","0","0","0","0","0","0","Defense","","rectgYLhIB07cBFXC"
"Office of Small and Disadvantaged Business Utilization","Office of Personnel Management","Check the candidate","Possible","Office of Small and Disadvantaged Business Utilization - VA","Department of Veterans Affairs","","100% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Finance & Regulation","","recZ5rsDv207R7l0D"
"Office of the Assistant Secretary for Health (OASH)","Department of Health and Human Services","Check the candidate","Possible","Office of the Assistant Secretary for Health","Department of Health and Human Services","","91% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Benefits","","recP7rOdJbxSqq54F"
"Office of the Chief Financial Officer","General Services Administration","Check the candidate","Possible","Office of the Chief Financial Officer - NRC","Nuclear Regulatory Commission","","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","reclWSOH6OrRvwwor"
"Office of the Chief Human Capital Officer","Nuclear Regulatory Commission","Check the candidate","Possible","Office of the Chief Human Capital Officer - NRC","Nuclear Regulatory Commission","","91% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","rec4OEIpLmVkBtRAL"
"Office of the Counselor","Department of State","Check the candidate","Possible","Counselor","Department of State","","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recvffsfi2qJRZipS"
"Office of the Inspector General for Tax Administration","Department of the Treasury","Check the candidate","Possible","Treasury Inspector General for Tax Administration","Department of Treasury","","83% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Finance & Regulation","","recHWe4MNSQD5CZJC"
"Office of the Secretary","Department of Labor","Same name already taken","High","Office of the Secretary","Department of Commerce","Office Of The Secretary","Same name, different punctuation or abbreviation","The Salesforce Account is already matched to the Airtable row 'Office Of The Secretary'. If that is the same organisation, merge these two Airtable rows. If this is a genuinely different office, it needs its own Salesforce Account.","0","0","0","0","0","0","Benefits","","recZ83VX9A77iNN2V"
"Office of the Solicitor","Department of Labor","Check the candidate","Possible","Office of the Solicitor General","Department of Justice","Office of The Solicitor General","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Office of The Solicitor General'.)","0","0","0","0","0","0","Benefits","","recGmLkPOMUcvVQEi"
"Office of the United States Attorneys","Department of Justice","Check the candidate","Possible","U.S. Attorneys","Department of Justice","","86% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","rec5Mp68UfvKGZyVn"
"Office of Worker Compensation Programs","","Check the candidate","Possible","Office of Workers' Compensation Programs","Department of Labor","Office of Workers' Compensation Programs","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Office of Workers' Compensation Programs'.)","0","0","0","0","0","0","Benefits","","recFi0g3iqmmI4rsY"
"Online Services","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","0","0","Infrastructure","","reccKm7VHMAv7UpZV"
"Senate","Congress","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","0","0","Infrastructure","","rec8IktOJbrgTaTig"
"Trade and Foreign Agricultural Affairs","Department of Agriculture","Check the candidate","Possible","Under Secretary for Trade and Foreign Agricultural Affairs","U.S. Department of Agriculture","Under Secretary for Trade and Foreign Agricultural Affairs","77% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Under Secretary for Trade and Foreign Agricultural Affairs'.)","0","0","0","0","0","0","Infrastructure","","rec8cRyGVGuIcWaHT"
"U.S. Census Bureau","","Check the candidate","Possible","Bureau of the Census","Office of the Under Secretary for Economic Affairs","Bureau of the Census","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Bureau of the Census'.)","0","0","0","0","0","0","Infrastructure","","recEMxNvBh96rs9VA"
"U.S. Chemical Safety Board","","Check the candidate","Possible","U.S. Chemical Safety And Hazard Investigation Board","(none)","","77% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recAdhzidzJoUOeLj"
"U.S. Citizenship and Information Services","","Check the candidate","Possible","U.S. Citizenship And Immigration Services","Department of Homeland Security","U.S. Citizenship And Immigration Services","83% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'U.S. Citizenship And Immigration Services'.)","0","0","0","0","0","0","Defense","","recl7z1nWFC5ArpTE"
"U.S. Institute for Environmental Conflict Resolution","Udall Foundation","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","0","0","Infrastructure","","recqwxkc8cXrUIW8w"
"U.S. Trustee Program","Department of Justice","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","0","0","Defense","","recnHf8YgdcvHgECB"
"Under Secretary for Civilian Security","","Check the candidate","Possible","Under Secretary for Nuclear Security","Department of Energy","Under Secretary for Nuclear Security","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Under Secretary for Nuclear Security'.)","0","0","0","0","0","0","Defense","","recRUUclzfaGB7JEK"
"Under Secretary for Economic Growth","","Check the candidate","Possible","Under Secretary for Economic Growth, Energy, and Environment","Department of State","","77% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recM6puEn2gHlabMn"
"Under Secretary for Food","","Check the candidate","Possible","Under Secretary for Food Safety","U.S. Department of Agriculture","Under Secretary for Food Safety","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Under Secretary for Food Safety'.)","0","0","0","0","0","0","Infrastructure","","recnEpaMZuHnZBAn0"
"Under Secretary for Research","","Check the candidate","Possible","Under Secretary for Management","Department of State","Under Secretary for Management","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Under Secretary for Management'.)","0","0","0","0","0","0","Infrastructure","","rec7ueMmx55KbN588"
"Under Secretary of Defense Intelligence","Department of Defense","Check the candidate","Possible","Under Secretary of Defense Intelligence and Security","Department of Defense","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recxRtAJUNBkPpRGe"
"United States Bankruptcy Court","Federal Judiciary","Check the candidate","Possible","U.S. Supreme Court","(none)","U.S. Supreme Court","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'U.S. Supreme Court'.)","0","0","0","0","0","0","Finance & Regulation","","recyJiJAVMg2DC1WD"
"United States Mint","Department of the Treasury","Align the names","High","U.S Mint","Department of Treasury","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","0","0","0","0","0","0","Finance & Regulation","","rechhENZJ5AlI2l7a"
"United States Special Operations Command","Department of Defense","Same name already taken","High","U.S. Special Operations Command","Department of Defense","U.S. Special Operations Command","Same name, different punctuation or abbreviation","The Salesforce Account is already matched to the Airtable row 'U.S. Special Operations Command'. If that is the same organisation, merge these two Airtable rows. If this is a genuinely different office, it needs its own Salesforce Account.","0","0","0","0","0","0","Defense","","reciFAlwatUqy1Eth"
"United States Transportation Command","Department of Defense","Align the names","High","U.S. Transportation Command","Department of Defense","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","0","0","0","0","0","0","Defense","","recT9cpCrVMeMbsHU"
"USA.gov","","Check the candidate","Possible","U.S.Senate","U.S. Congress","","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recH3eAn9SyWHWz5u"
"VA Office of Information and Technology (VA OIT)","VA Central Office","Check the candidate","Possible","Office of Information and Technology","Department of Veterans Affairs","","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","rec8qv0kD0Ex7qxVN"
"Veterans' Employment and Training Service","Department of Labor","Check the candidate","Possible","Veterans' Employment and Training Services","Department of Labor","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Benefits","","recNX8AUljqeH21Fo"
